symbol,stage2_tier,stage2_score,stage2_hp_left,stage3_verdict,stage3_category,weighted_fair_value,mos_threshold,current_price,undervaluation_pct,bear_value,realistic_value,bull_value,qc_fail_reason,share_count_source,share_qc_detail,watch_signal,kill_signal,stage2_kills,stage2_flags,sector,iv_rank,implied_vol
MARA,Diamond,7.0,10,NO ENTRY,B,1.2782466922800377,0.6391233461400189,13.81,-90.74405001969559,0.9694687904322367,1.321348514258438,2.193745697830141,,sec,,Next revenue step-down below 50% YoY or cash runway under 18 months,,,,Technology,,
CLSK,Diamond,6.5,9,NO ENTRY,B,0.9990327141806719,0.4995163570903359,15.97,-93.74431612911289,0.931728897772137,1.0084275481242533,1.1985825414934814,,sec,,Next revenue step-down below 50% YoY or cash runway under 18 months,,,Minor/isolated negative news flow,Finance,,
PCT,Diamond,6.5,9,NO ENTRY,B,0.47775808999398484,0.23887904499699242,11.32,-95.77952217319802,0.3852012843462435,0.49067794901253836,0.7521807835232911,,sec,,Next revenue step-down below 50% YoY or cash runway under 18 months,,,Hold/modest upside profile (12.3%),Industrials,,
QUBT,Diamond,6.5,9,NO ENTRY,B,1.1414920598073741,0.5707460299036871,12.31,-90.7271156798751,1.135432958869047,1.1423378401835933,1.15945675498268,,sec,,Next revenue step-down below 50% YoY or cash runway under 18 months,,,Institutional ownership 30-50% (42.2%),Technology,,
USAR,Diamond,6.5,9,NO ENTRY,B,8.023332084581625,4.011666042290813,25.3,-68.28722496212795,8.008231711131355,8.025439921976613,8.068103348310117,,sec,,Next revenue step-down below 50% YoY or cash runway under 18 months,,,"Borderline liquidity: spread $0.11, volume 15,579, OI 23,261",Basic Materials,,
UUUU,Diamond,6.5,9,NO ENTRY,A,1.5093113848520072,1.2074491078816059,18.04,-91.63352890880262,0.7182926819184093,1.3846457714247418,2.549661314640136,,sec,,Close below the 50-day SMA by 5% on elevated volume,,,Broke 50-day moving average but not 200-day,Industrials,,
APLD,Strong,6.0,8,NO ENTRY,B,18.60362830636176,9.30181415318088,45.87,-59.44271134431707,8.479799234796232,22.51351656345694,39.04912507130959,,sec,,"Polaris Forge 1 ELN-03 (150MW) achieves Ready-for-Service status on or before August 31, 2026.","CoreWeave ($CRWV) announces a material contract renegotiation, payment deferral, or financial covenant breach.",,"Upper portion of 52-week range | Borderline liquidity: spread $0.13, volume 32,267, OI 60,387",Finance,,
FSLY,Strong,6.0,8,NO ENTRY,A,16.604399454156347,13.283519563325079,16.32,1.7426437141933038,4.937053565563185,14.869033305670529,31.74247763972114,,sec,,Close below the 50-day SMA by 5% on elevated volume,,,"Broke 50-day moving average but not 200-day | Borderline liquidity: spread $0.20, volume 2,596, OI 16,908",Technology,,
GLXY,Strong,6.0,8,NO ENTRY,B,-68.21526255961719,-34.107631279808594,28.65,-338.09864767754686,-377.77398606393325,-25.00444691348823,849.5988097286614,,market_cap_implied,,Next revenue step-down below 50% YoY or cash runway under 18 months,,,"Mixed/partial catalyst signal in headlines | Borderline liquidity: spread $0.21, volume 6,025, OI 27,434",Finance,,
QBTS,Strong,6.0,8,NO ENTRY,B,0.8836136115155898,0.4418068057577949,29.4,-96.99451152545717,0.7505015198298552,0.9021945191669379,1.2782791197521601,,sec,,Next revenue step-down below 50% YoY or cash runway under 18 months,,,"Borderline liquidity: spread $0.22, volume 99,918, OI 50,894 | Institutional ownership 30-50% (47.6%)",Technology,,
