symbol,stage2_tier,stage2_score,stage2_hp_left,stage3_verdict,stage3_category,weighted_fair_value,stage2_one_yr_target,finviz_target_price,target_benchmark_price,fair_value_target_gap_pct,fair_value_target_alignment,software_patch_required,fair_value_target_gap_detail,mos_threshold,current_price,undervaluation_pct,bear_value,realistic_value,bull_value,qc_fail_reason,share_count_source,share_qc_detail,watch_signal,kill_signal,stage2_kills,stage2_flags,sector,iv_rank,implied_vol
MARA,Diamond,7.0,10,NO ENTRY,B,0.2612154721742008,15.5,17.78,15.5,-98.31,SEVERE_MISALIGNMENT,TRUE,Stage 3 FV $0.26 is -98.3% below closest benchmark Stage 2 target $15.50; Stage 2 target $15.50; Finviz target $17.78; software patch required before trusting fair value,0.1306077360871004,13.81,-98.10850490822448,-4.510014313203755,0.9272239384431594,14.407487266966038,,sec,,Next revenue step-down below 50% YoY or cash runway under 18 months,,,,Technology,,
CLSK,Diamond,6.5,9,DIAMOND,A,21.102134844964773,21.5,20.21,21.5,-1.85,ALIGNED,FALSE,Stage 3 FV $21.10 is -1.9% below closest benchmark Stage 2 target $21.50; Stage 2 target $21.50; Finviz target $20.21,16.88170787597182,15.97,32.13609796471366,4.8972811772951745,18.69203889138243,42.12718041979906,,sec,,Close below the 50-day SMA by 5% on elevated volume,,,Minor/isolated negative news flow,Finance,,
PCT,Diamond,6.5,9,NO ENTRY,B,0.47775808999398484,14.0,12.71,12.71,-96.24,SEVERE_MISALIGNMENT,TRUE,Stage 3 FV $0.48 is -96.2% below closest benchmark Finviz target $12.71; Stage 2 target $14.00; Finviz target $12.71; software patch required before trusting fair value,0.23887904499699242,11.32,-95.77952217319802,0.3852012843462435,0.49067794901253836,0.7521807835232911,,sec,,Next revenue step-down below 50% YoY or cash runway under 18 months,,,Hold/modest upside profile (12.3%),Industrials,,
QUBT,Diamond,6.5,9,NO ENTRY,B,1.1414920598073741,18.0,17.83,17.83,-93.6,SEVERE_MISALIGNMENT,TRUE,Stage 3 FV $1.14 is -93.6% below closest benchmark Finviz target $17.83; Stage 2 target $18.00; Finviz target $17.83; software patch required before trusting fair value,0.5707460299036871,12.31,-90.7271156798751,1.135432958869047,1.1423378401835933,1.15945675498268,,sec,,Next revenue step-down below 50% YoY or cash runway under 18 months,,,Institutional ownership 30-50% (42.2%),Technology,,
USAR,Diamond,6.5,9,NO ENTRY,B,8.023332084581625,35.0,37.43,35.0,-77.08,SEVERE_MISALIGNMENT,TRUE,Stage 3 FV $8.02 is -77.1% below closest benchmark Stage 2 target $35.00; Stage 2 target $35.00; Finviz target $37.43; software patch required before trusting fair value,4.011666042290813,25.3,-68.28722496212795,8.008231711131355,8.025439921976613,8.068103348310117,,sec,,Next revenue step-down below 50% YoY or cash runway under 18 months,,,"Borderline liquidity: spread $0.11, volume 15,579, OI 23,261",Basic Materials,,
UUUU,Diamond,6.5,9,NO ENTRY,B,0.3205562334851166,28.0,27.89,27.89,-98.85,SEVERE_MISALIGNMENT,TRUE,Stage 3 FV $0.32 is -98.9% below closest benchmark Finviz target $27.89; Stage 2 target $28.00; Finviz target $27.89; software patch required before trusting fair value,0.1602781167425583,18.04,-98.22308074564792,-0.21978760950938414,0.3959819812102673,1.922627651019458,,sec,,Next revenue step-down below 50% YoY or cash runway under 18 months,,,Broke 50-day moving average but not 200-day,Industrials,,
APLD,Strong,6.0,8,NO ENTRY,B,18.60362830636176,46.0,57.82,46.0,-59.56,SEVERE_MISALIGNMENT,TRUE,Stage 3 FV $18.60 is -59.6% below closest benchmark Stage 2 target $46.00; Stage 2 target $46.00; Finviz target $57.82; software patch required before trusting fair value,9.30181415318088,45.87,-59.44271134431707,8.479799234796232,22.51351656345694,39.04912507130959,,sec,,"Polaris Forge 1 ELN-03 (150MW) achieves Ready-for-Service status on or before August 31, 2026.","CoreWeave ($CRWV) announces a material contract renegotiation, payment deferral, or financial covenant breach.",,"Upper portion of 52-week range | Borderline liquidity: spread $0.13, volume 32,267, OI 60,387",Finance,,
FSLY,Strong,6.0,8,NO ENTRY,A,16.96693812042833,24.0,25.2,24.0,-29.3,ALIGNED,FALSE,Stage 3 FV $16.97 is -29.3% below closest benchmark Stage 2 target $24.00; Stage 2 target $24.00; Finviz target $25.20,13.573550496342666,16.32,3.9640816202716422,5.149267364891871,15.259296461172802,32.19989219447585,,sec,,Close below the 50-day SMA by 5% on elevated volume,,,"Broke 50-day moving average but not 200-day | Borderline liquidity: spread $0.20, volume 2,596, OI 16,908",Technology,,
GLXY,Strong,6.0,8,NO ENTRY,B,-68.40599596301915,42.5,41.44,42.5,-260.96,SEVERE_MISALIGNMENT,TRUE,Stage 3 FV $-68.41 is -261.0% below closest benchmark Stage 2 target $42.50; Stage 2 target $42.50; Finviz target $41.44; software patch required before trusting fair value,-34.202997981509576,28.65,-338.7643838150756,-378.80160492221313,-25.0783607916697,851.8893672373201,,market_cap_implied,,Next revenue step-down below 50% YoY or cash runway under 18 months,,,"Mixed/partial catalyst signal in headlines | Borderline liquidity: spread $0.21, volume 6,025, OI 27,434",Finance,,
QBTS,Strong,6.0,8,NO ENTRY,B,0.8836136115155898,37.0,36.38,36.38,-97.57,SEVERE_MISALIGNMENT,TRUE,Stage 3 FV $0.88 is -97.6% below closest benchmark Finviz target $36.38; Stage 2 target $37.00; Finviz target $36.38; software patch required before trusting fair value,0.4418068057577949,29.4,-96.99451152545717,0.7505015198298552,0.9021945191669379,1.2782791197521601,,sec,,Next revenue step-down below 50% YoY or cash runway under 18 months,,,"Borderline liquidity: spread $0.22, volume 99,918, OI 50,894 | Institutional ownership 30-50% (47.6%)",Technology,,
